Date,Close,High,Low,Open,Volume,ticker,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL,,MSFT,MSFT,MSFT,MSFT,MSFT
2024-10-01,224.94403076171875,228.36476618305377,222.4878528116685,228.2355040411627,63285000.0,AAPL,,,,,
2024-10-02,225.51083374023438,226.09752818761766,221.771881889721,224.62581519597003,32880600.0,AAPL,,,,,
2024-10-03,224.4070281982422,225.54064754177273,222.07018915877285,223.87999557549335,34044200.0,AAPL,,,,,
2024-10-04,225.53074645996094,226.72402778202942,222.87569058700512,226.62458134960903,37245100.0,AAPL,,,,,
2024-10-07,220.4493408203125,224.42695529805295,220.09135491038006,223.24361256318196,39505400.0,AAPL,,,,,
2024-10-08,224.50650024414062,224.71531649859696,222.00059897690352,223.0447257693685,31855700.0,AAPL,,,,,
2024-10-09,228.25538635253906,228.46421777631028,223.57175408478048,223.96950943919006,33591100.0,AAPL,,,,,
2024-10-01,,,,,,MSFT,417.5552062988281,425.28716713975047,415.68921038228643,425.257391898111,19092900.0
2024-10-02,,,,,,MSFT,414.021728515625,419.66933146547984,413.6048448503053,419.4310992466512,16582300.0
2024-10-03,,,,,,MSFT,413.4361267089844,416.4236768512481,411.20289276743637,414.51800085029123,13686400.0
2024-10-04,,,,,,MSFT,412.959716796875,416.62222309915006,411.87784259208183,415.1234652064613,19169700.0
2024-10-07,,,,,,MSFT,406.48828125,414.0018496365578,405.95229663138974,412.90013544904184,20919800.0
2024-10-08,,,,,,MSFT,411.6197204589844,412.5626535137651,405.1284760161441,407.83811364378505,19229300.0
2024-10-09,,,,,,MSFT,414.3492431640625,417.247497795826,411.2127866111198,412.7611596791307,14974300.0
